"FID","Shape","OBJECTID","FID_Jornad","ecosite1","ecosite2","ecosite3","SUM_Shape_","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape1","Shape_Leng","Shape_Area","GeneralizedStateNumber"
379,"Polygon",380,27,"Sandy","Loamy","Deep sand",154795964.8,152,"SCBR2","PRGL2","EPHEDRA",269978.5779,5492.193259,269978.5779,1
380,"Polygon",381,27,"Sandy","Loamy","Deep sand",154795964.8,153,"SCBR2","PRGL2","PLMU3",108854.5017,1393.922209,77446.43421,1
381,"Polygon",382,27,"Sandy","Loamy","Deep sand",154795964.8,154,"SCBR2","SPAI"," ",185194.661,1640.84425,185194.661,1
382,"Polygon",383,27,"Sandy","Loamy","Deep sand",154795964.8,155,"SCBR2","SPAI","PLMU3",464154.6361,3723.949169,235104.0862,1
383,"Polygon",384,27,"Sandy","Loamy","Deep sand",154795964.8,156,"SCBR2","SPAI","PRGL2",301580.3026,3311.907522,301580.3026,1
384,"Polygon",385,27,"Sandy","Loamy","Deep sand",154795964.8,158,"SPAI"," "," ",154524.0585,243.344409,1189.826813,1
385,"Polygon",386,27,"Sandy","Loamy","Deep sand",154795964.8,161,"SPFL2","ARPU9","YUEL",7375763.938,18913.28561,1926005.742,1
386,"Polygon",387,27,"Sandy","Loamy","Deep sand",154795964.8,162,"SPFL2","GUSA2","PRGL2",884368.1104,3332.249432,493327.5385,2
387,"Polygon",388,27,"Sandy","Loamy","Deep sand",154795964.8,163,"SPORO","EPHEDRA"," ",2321955.057,33263.38742,2308992.131,4
388,"Polygon",389,28,"Sandy","Shallow sandy"," ",15174053.53,3,"ARPU9","SPFL2"," ",583649.5255,1329.593453,31712.84843,2
389,"Polygon",390,28,"Sandy","Shallow sandy"," ",15174053.53,8,"BOER4","ARPU9","YUEL",1697371.497,5159.583236,1277041.142,1
390,"Polygon",391,28,"Sandy","Shallow sandy"," ",15174053.53,9,"BOER4","PRGL2","YUEL",1349749.198,2344.768781,95206.24858,1
391,"Polygon",392,28,"Sandy","Shallow sandy"," ",15174053.53,10,"BOER4","SCBR2","YUEL",206364.1524,2017.623258,206304.1621,1
392,"Polygon",393,28,"Sandy","Shallow sandy"," ",15174053.53,11,"BOER4","SPFL2","PRGL2",3191301.946,3307.079247,391652.8472,1
393,"Polygon",394,28,"Sandy","Shallow sandy"," ",15174053.53,28,"FLCE","PLMU3","SCBR2",7147095.878,4988.708585,323147.4046,2
394,"Polygon",395,28,"Sandy","Shallow sandy"," ",15174053.53,31,"FLCE","PRGL2","SCBR2",523709.4407,1855.73549,112756.5652,2
395,"Polygon",396,28,"Sandy","Shallow sandy"," ",15174053.53,33,"FLCE","SCBR2","PLMU3",17413694.84,381.551347,3788.428941,2
396,"Polygon",397,28,"Sandy","Shallow sandy"," ",15174053.53,34,"FLCE","SPAI","SCBR2",2576110.634,1210.760789,39481.15603,2
397,"Polygon",398,28,"Sandy","Shallow sandy"," ",15174053.53,78,"PRGL2","BOER4","YUEL",8985471.574,13406.19188,2696981.987,1
398,"Polygon",399,28,"Sandy","Shallow sandy"," ",15174053.53,80,"PRGL2","GUSA2"," ",254274.3534,136.353163,1044.117927,1
399,"Polygon",400,28,"Sandy","Shallow sandy"," ",15174053.53,89,"PRGL2","SCBR2"," ",418134.7967,1022.523346,42216.97369,1
400,"Polygon",401,28,"Sandy","Shallow sandy"," ",15174053.53,95,"PRGL2","YUEL","ARPU9",3571571.024,2905.025552,458751.4381,1
401,"Polygon",402,28,"Sandy","Shallow sandy"," ",15174053.53,96,"PRGL2","YUEL","EPHEDRA",119150.2092,947.129012,35779.19557,1
402,"Polygon",403,28,"Sandy","Shallow sandy"," ",15174053.53,98,"PRGL2","YUEL","FLCE",1557292.909,4460.352095,677831.3412,1
403,"Polygon",404,28,"Sandy","Shallow sandy"," ",15174053.53,99,"PRGL2","YUEL","GUSA2",208405.5173,3013.289178,208405.5173,1
404,"Polygon",405,28,"Sandy","Shallow sandy"," ",15174053.53,100,"PRGL2","YUEL","SPFL2",6825353.19,2367.79839,214701.9664,1
405,"Polygon",406,28,"Sandy","Shallow sandy"," ",15174053.53,101,"PRGL2"," "," ",57616084.18,6359.800824,2381319.589,1
406,"Polygon",407,28,"Sandy","Shallow sandy"," ",15174053.53,130,"PRGL2","YUEL","GUSA2",12676395.23,16072.95224,2330868.564,1
407,"Polygon",408,28,"Sandy","Shallow sandy"," ",15174053.53,143,"SCBR2","FLCE","PLMU3",212469.5219,2587.217026,188016.1944,1
408,"Polygon",409,28,"Sandy","Shallow sandy"," ",15174053.53,147,"SCBR2","PLMU3"," ",2426297.229,9416.20942,1110713.036,1
409,"Polygon",410,28,"Sandy","Shallow sandy"," ",15174053.53,148,"SCBR2","PLMU3","FLCE",1716426.24,2171.1939,121167.6854,1
410,"Polygon",411,28,"Sandy","Shallow sandy"," ",15174053.53,155,"SCBR2","SPAI","PLMU3",464154.6361,2432.932965,74469.41283,1
411,"Polygon",412,28,"Sandy","Shallow sandy"," ",15174053.53,159,"SPFL2","ARPU9"," ",251335.0229,599.377746,18633.19679,1
412,"Polygon",413,28,"Sandy","Shallow sandy"," ",15174053.53,160,"SPFL2","ARPU9","PRGL2",1203988.032,3598.647133,433764.6022,1
413,"Polygon",414,28,"Sandy","Shallow sandy"," ",15174053.53,161,"SPFL2","ARPU9","YUEL",7375763.938,7072.818621,605165.5761,1
414,"Polygon",415,28,"Sandy","Shallow sandy"," ",15174053.53,165,"YUEL","PRGL2"," ",414716.4026,912.953287,31144.95451,6
415,"Polygon",416,30,"Shallow sandy","Deep sand"," ",7013.853676,108,"PRGL2","ATCA2","FLCE",1867270.281,423.901023,7013.853676,1
416,"Polygon",417,31,"Shallow sandy","Sandy"," ",25419663.04,9,"BOER4","PRGL2","YUEL",1349749.198,1188.558712,66349.78585,1
417,"Polygon",418,31,"Shallow sandy","Sandy"," ",25419663.04,11,"BOER4","SPFL2","PRGL2",3191301.946,6302.268513,2031651.414,1
418,"Polygon",419,31,"Shallow sandy","Sandy"," ",25419663.04,75,"PRGL2","BOER4"," ",2136391.017,9628.715595,739514.9744,1
419,"Polygon",420,31,"Shallow sandy","Sandy"," ",25419663.04,77,"PRGL2","BOER4","SPFL2",3243984.413,12879.42705,2850105.656,1
420,"Polygon",421,31,"Shallow sandy","Sandy"," ",25419663.04,78,"PRGL2","BOER4","YUEL",8985471.574,8031.299573,1226510.491,1
421,"Polygon",422,31,"Shallow sandy","Sandy"," ",25419663.04,93,"PRGL2","SPFL2","GUSA2",21268255.85,5943.331514,400185.9083,1
422,"Polygon",423,31,"Shallow sandy","Sandy"," ",25419663.04,94,"PRGL2","SPFL2","YUEL",10553949.99,13630.87236,4295333.619,2
423,"Polygon",424,31,"Shallow sandy","Sandy"," ",25419663.04,100,"PRGL2","YUEL","SPFL2",6825353.19,4162.658987,603914.5118,1
424,"Polygon",425,31,"Shallow sandy","Sandy"," ",25419663.04,101,"PRGL2"," "," ",57616084.18,2482.096229,210262.3409,1
425,"Polygon",426,31,"Shallow sandy","Sandy"," ",25419663.04,107,"PRGL2","ATCA2"," ",9995894.241,11314.60605,2625955.078,1
426,"Polygon",427,31,"Shallow sandy","Sandy"," ",25419663.04,109,"PRGL2","ATCA2","GUSA2",6681452.926,10957.01645,2072015.711,1
427,"Polygon",428,31,"Shallow sandy","Sandy"," ",25419663.04,118,"PRGL2","GUSA2"," ",29724873.71,8304.988951,1466563.193,1
428,"Polygon",429,31,"Shallow sandy","Sandy"," ",25419663.04,126,"PRGL2","SPFL2"," ",61470.9562,659.200656,8847.930675,1
429,"Polygon",430,31,"Shallow sandy","Sandy"," ",25419663.04,127,"PRGL2","SPFL2","GUSA2",2072824.431,6123.515967,1003299.683,1
430,"Polygon",431,31,"Shallow sandy","Sandy"," ",25419663.04,128,"PRGL2","SPFL2","YUEL",5514872.158,8049.984304,2440280.993,2
431,"Polygon",432,31,"Shallow sandy","Sandy"," ",25419663.04,130,"PRGL2","YUEL","GUSA2",12676395.23,6955.646919,1673399.637,1
