OBJECTID *,Shape *,TARGET_FID,soil_mu,SSURGO_dat,MLRA,LRU,Subres_are,ecosite1,ecosite2,ecosite3,esite,esite_alt,esite_alt2,state_code,dom1,dom2,dom3,dom4,hist_state,grass_dur,ration,ration_dat,remarks,veri_esite,veri_state,esite_veri,state_veri,esite_corr,state_corr,date_chang,agency,person,corr_type,corr_reaso,chng_reaso,old_esite,old_state,old_remark,LU,Shape_Length,Shape_Area
2948,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,4403.957595,41044.26868
2949,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,225.053441,1576.811413
2950,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1102.913057,9946.660678
2951,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,188.184875,993.906865
2952,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,598.974741,4998.072657
2953,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,400.633344,2698.858294
2954,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,403.922982,4315.567054
2955,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,742.13058,6360.966057
2956,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1696.809264,17663.85647
2957,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,12945.50649,141463.4911
2958,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,10943.2088,111625.5611
2959,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,305.100016,2451.405377
2960,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,545.135032,3319.778521
2961,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,124.529739,633.023049
2962,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,516.156535,3826.866994
2963,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,70597.19936,791292.0473
2964,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,492.650186,3173.835837
2965,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1815.792559,19317.71583
2966,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1103.748767,9403.781315
2967,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,314.907244,2476.352068
2968,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1094.951992,10966.25917
2969,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,246.546126,1340.650552
2970,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,447.81149,3178.583743
2971,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3254.10007,34569.84172
2986,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,32239.3004,383961.3487
2987,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,221.290439,1296.984041
2988,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,9577.857691,91953.61514
2989,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,242.726406,2111.023171
2990,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1043.938119,8236.996784
2991,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1043.908535,12946.27886
2992,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,Draw, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,95019.57674,1008217.99
2993,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,8894.432426,124763.2654
2994,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1858.496724,18186.92108
2995,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,578.224267,4276.824322
2996,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,250.263096,1915.482988
2997,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,59424.16316,674574.5238
2998,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3922.132574,39403.81256
2999,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,296.437737,2958.707481
3000,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,87.640248,198.677406
3001,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1058.720192,10796.90661
3002,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,482.463955,3335.018288
3003,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,6021.314327,59508.34504
3004,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3768.48794,31815.69676
3005,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,624.576738,4510.654186
3006,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,2931.172635,34239.29949
3007,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3659.725774,44652.11764
3008,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,624.48289,6158.50377
3009,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3500.955366,31172.52341
3010,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1342.206289,13555.01024
3011,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,8405.657648,83518.86412
3012,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1219.092164,11348.7832
3013,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,296.229331,2138.494464
3014,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1124.243593,12314.64541
3015,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,209.158156,1283.437614
3016,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,6769.619295,86870.06581
3017,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,2415.478358,22943.47964
3018,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3489.903817,60855.4564
3019,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,956.554271,9619.673666
3020,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1588.650061,17987.79194
3021,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,622.660663,5583.321021
3022,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,2321.454984,28097.7038
3023,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1180.273373,10128.52652
3024,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3058.163086,32166.49539
3025,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,Gravelly, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,9734.759776,114319.3726
3026,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,2234.70262,28863.1355
3027,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1555.848542,12978.73592
3028,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,Draw, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,20996.8878,285750.839
3034,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,3383.850094,35610.30508
3035,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1825.947282,15703.05849
3036,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,212.0322,1270.483859
3037,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,2226.720844,21272.7494
3038,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,1850.009881,13009.69481
3039,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,817.834537,5816.461014
3040,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,10956.07094,131112.2723
3041,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Drainage,<Null>, ,537,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,566.263988,4231.12939
3042,Polygon,2445,914,NM690,42X,42.2,SD-2,Limestone hills,No ecosite, ,Limestone hills,Gravelly, ,536,<Null>,<Null>,<Null>,<Null>,500,<Null>,<Null>,<Null>,<Null>,no,no,<Null>,<Null>,<Null>,<Null>,7/27/2020,USDA,LMB,<Null>,<Null>,<Null>,<Null>,500,<Null>,0,272.212581,1678.444076
